Axis1,Axis2,Axis3,Steps,Lux,Inclinometer Off,Inclinometer Standing,Inclinometer Sitting,Inclinometer Lying
41,15,18,1,265,0,0,0,10
41,37,64,0,135,0,0,0,10
0,0,0,0,107,0,0,0,10
20,19,14,0,99,8,0,0,2
0,0,0,0,111,10,0,0,0
0,0,0,0,91,10,0,0,0
0,13,19,0,99,3,0,0,7
0,0,0,0,120,7,0,0,3
7,0,16,1,106,0,0,0,10
0,0,0,0,90,0,0,0,10
0,0,0,0,83,0,0,0,10
0,0,0,0,75,0,0,0,10
5,0,13,0,91,0,0,0,10
0,0,9,0,112,0,0,0,10
0,0,0,0,111,0,0,0,10
0,0,0,0,94,0,0,0,10
0,0,0,0,83,0,0,0,10
0,0,0,0,84,0,0,0,10
5,16,24,0,100,1,0,0,9
0,0,0,0,109,0,0,0,10
0,0,0,0,86,0,0,0,10
0,0,0,0,82,0,0,0,10
9,39,6,0,149,0,0,0,10
0,0,0,0,233,0,0,0,10
0,0,0,0,246,0,0,0,10
0,0,0,0,236,0,0,0,10
0,0,0,0,237,0,0,0,10
0,0,0,0,229,0,0,0,10
0,0,0,0,233,0,0,0,10
0,0,0,0,240,0,0,0,10
0,0,0,0,214,0,0,0,10
7,80,17,1,260,1,0,0,9
4,1,10,0,84,0,0,0,10
13,62,4,0,86,1,0,0,9
2,11,10,0,217,0,0,0,10
0,0,0,0,220,0,0,0,10
0,0,0,0,211,0,0,0,10
0,0,0,0,212,0,0,0,10
0,0,0,0,208,0,0,0,10
0,0,0,0,207,0,0,0,10
0,0,0,0,198,0,0,0,10
0,0,0,0,198,0,0,0,10
0,0,1,0,192,0,0,0,10
0,0,3,0,188,0,0,0,10
0,0,0,0,118,0,0,0,10
0,0,0,0,125,0,0,0,10
0,0,0,0,128,0,0,0,10
0,0,0,0,132,0,0,0,10
0,0,0,0,136,0,0,0,10
0,0,0,0,133,0,0,0,10
0,0,0,0,136,0,0,0,10
0,0,0,0,137,0,0,0,10
0,0,0,0,143,0,0,0,10
0,0,0,0,97,0,0,0,10
0,0,0,0,92,0,0,0,10
0,0,0,0,94,0,0,0,10
0,0,0,0,91,0,0,0,10
0,0,0,0,86,0,0,0,10
0,0,0,0,87,0,0,0,10
0,0,0,0,78,0,0,0,10
0,0,0,0,73,0,0,0,10
0,0,0,0,80,0,0,0,10
0,0,0,0,89,0,0,0,10
0,0,0,0,92,0,0,0,10
0,0,0,0,83,0,0,0,10
0,4,0,0,157,0,0,0,10
0,0,0,0,109,0,0,0,10
10,29,1,0,131,0,0,0,10
31,0,17,1,176,0,0,0,10
0,0,0,0,77,0,0,0,10
0,0,0,0,77,0,0,0,10
0,0,0,0,106,0,0,0,10
0,0,0,0,97,0,0,0,10
0,0,0,0,100,0,0,0,10
38,44,22,1,167,0,0,0,10
42,4,15,0,228,0,0,0,10
19,31,0,0,334,0,0,10,0
0,0,0,0,291,0,0,10,0
61,0,19,1,180,0,0,0,10
0,0,0,0,182,0,0,1,9
77,0,29,1,187,0,10,0,0
50,21,0,1,190,0,0,4,6
0,4,0,0,251,0,0,10,0
0,0,0,0,218,0,0,10,0
0,0,0,0,210,0,0,10,0
0,0,0,0,213,0,0,10,0
58,9,2,1,122,0,0,0,10
0,0,0,0,112,0,0,0,10
0,0,0,0,128,0,0,0,10
0,0,0,0,158,0,0,0,10
0,0,0,0,151,0,0,0,10
0,0,0,0,147,0,0,0,10
2,0,4,0,124,0,0,0,10
0,0,0,0,88,0,0,0,10
0,0,0,0,93,0,0,0,10
0,0,0,0,89,0,0,0,10
0,0,0,0,101,0,0,0,10
0,0,0,0,126,0,0,4,6
0,0,0,0,210,0,0,10,0
100,20,38,1,98,0,10,0,0
34,28,4,2,55,4,0,0,6
0,0,0,0,29,10,0,0,0
9,9,8,0,56,8,0,0,2
31,78,20,2,110,2,0,0,8
3,0,6,0,181,0,0,0,10
101,18,91,0,228,0,10,0,0
328,40,126,2,142,0,10,0,0
328,77,137,3,110,0,10,0,0
60,51,34,1,96,0,0,9,1
119,203,149,4,123,0,10,0,0
174,343,433,6,230,0,10,0,0
357,230,282,5,91,0,10,0,0
660,246,320,3,34,0,10,0,0
686,445,126,3,45,0,10,0,0
471,120,107,1,32,0,10,0,0
26,13,12,1,22,0,0,0,10
0,3,0,0,0,0,0,0,10
0,0,0,0,0,0,0,0,10
0,0,0,0,0,0,0,0,10
327,107,85,2,28,0,10,0,0
642,150,218,3,84,0,10,0,0
317,194,158,1,91,0,10,0,0
332,52,181,1,288,0,10,0,0
0,0,0,0,140,0,0,10,0
21,110,75,0,136,0,0,10,0
74,133,159,2,421,0,10,0,0
38,148,169,1,423,0,0,10,0
122,116,317,3,310,0,10,0,0
111,77,118,1,173,0,10,0,0
401,318,474,4,573,0,10,0,0
297,221,389,6,341,0,10,0,0
455,412,668,8,190,0,10,0,0
100,102,178,1,548,0,10,0,0
147,106,65,2,646,0,10,0,0
60,68,45,0,606,0,0,0,10
43,23,20,2,513,0,0,1,9
98,138,79,1,865,0,10,0,0
103,80,15,2,797,0,10,0,0
99,118,38,2,607,0,10,0,0
0,32,8,0,389,0,0,1,9
11,22,7,0,371,0,0,0,10
2,11,0,0,376,0,0,0,10
0,18,0,0,381,0,0,1,9
2,9,0,0,528,0,0,5,5
51,6,6,1,341,0,0,3,7
0,30,0,0,361,0,0,0,10
0,68,0,0,282,0,0,0,10
0,8,0,0,333,0,0,0,10
19,17,0,1,350,1,0,0,9
203,123,78,2,741,0,10,0,0
59,86,55,1,678,0,0,1,9
19,24,39,1,439,0,0,0,10
180,93,66,1,788,0,10,0,0
272,75,57,1,896,0,10,0,0
3,54,46,0,1019,0,0,0,10
140,54,30,2,961,0,10,0,0
109,15,19,2,948,0,10,0,0
65,67,10,1,987,0,0,0,10
29,72,21,1,615,0,0,0,10
60,64,32,2,558,0,0,0,10
46,4,13,1,756,0,0,7,3
8,38,17,0,819,0,0,9,1
50,25,15,1,819,0,0,2,8
145,41,20,1,814,0,10,0,0
240,35,32,4,745,0,10,0,0
0,16,3,0,744,0,0,0,10
77,48,29,1,709,0,10,0,0
35,99,61,0,679,1,0,0,9
0,9,9,0,407,0,0,0,10
5,14,23,0,285,0,0,0,10
12,40,53,1,416,0,0,0,10
18,32,7,0,402,0,0,0,10
53,151,198,1,334,0,0,0,10
0,8,1,0,514,0,0,0,10
125,22,35,1,527,0,10,0,0
3,134,31,1,365,1,0,0,9
3,308,45,1,440,6,0,0,4
0,132,36,0,286,2,0,0,8
3,16,0,0,205,0,0,0,10
0,18,4,0,220,0,0,0,10
0,83,42,0,125,0,0,0,10
14,113,19,0,311,2,0,0,8
8,67,7,0,274,0,0,0,10
35,125,18,1,326,5,0,0,5
13,48,20,0,237,0,0,0,10
2,84,3,0,189,0,0,0,10
3,183,20,1,269,3,0,0,7
0,221,68,0,325,2,0,0,8
0,341,62,0,375,7,0,0,3
6,163,13,1,476,4,0,0,6
0,137,20,0,404,4,0,0,6
0,187,35,0,412,5,0,0,5
0,88,14,0,438,5,0,0,5
8,219,34,0,440,4,0,0,6
0,59,18,0,345,0,0,0,10
0,23,6,0,422,0,0,0,10
0,51,7,0,405,0,0,0,10
7,186,50,0,394,1,0,0,9
19,147,38,1,399,5,0,0,5
0,144,45,0,321,1,0,0,9
10,174,33,1,273,3,0,0,7
91,119,16,1,173,0,10,0,0
36,77,10,1,243,0,0,0,10
3,131,38,0,234,0,0,0,10
22,161,35,1,266,1,0,0,9
89,37,2,0,406,0,10,0,0
4,21,0,1,366,9,0,0,1
0,12,4,0,137,9,0,0,1
21,44,13,0,103,0,0,0,10
3,18,0,0,115,1,0,0,9
4,42,10,0,76,4,0,0,6
